Internal_Product_ID,Product_Name,Category,Price_USD,Compare_Price_USD,SKU,Stock_Quantity,Image_URL,Description
prod_apex_audio,Sphere Spatial Studio Active Noise-Cancelling Earbuds,Audio & Headphones,129.00,174.15,NYX-AUD-SPH01,41,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800&auto=format&fit=crop&q=80,"Studio-calibrated wireless acoustic earbuds with active hybrid noise cancellation (ANC -45dB), beryllium drivers, and low-latency lossless LDAC Bluetooth 5.4 streaming. Packed in a brushed zinc alloy charging case."
prod_cj_0001,7-inch Car Monitor Desktop Reversing Monitor Display,Automotive & Travel,31.30,42.26,CJ-240924035057,85,"https://oss-cf.cjdropshipping.com/product/2024/09/25/06/63a50c1b-7c38-4ce8-9660-d2b9c920b167_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision 7-inch Car Monitor Desktop Reversing Monitor Display. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0002,Car Display AP-1 Car HUD Head-up Display OBD GPS Driving Computer Code,Automotive & Travel,65.40,88.29,CJ-140968771564,85,"https://cf.cjdropshipping.com/5f125b7d-4eb6-421f-89ff-d6e68835be10.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Car Display AP-1 Car HUD Head-up Display OBD GPS Driving Computer Code. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0003,Aluminum Alloy Computer Monitor Increase Rack Desktop Storage Bracket Notebook Desktop Computer,Workspace & Desk Accessories,81.86,110.51,CJ-137383360674,85,"https://cf.cjdropshipping.com/1616382186663.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Aluminum Alloy Computer Monitor Increase Rack Desktop Storage Bracket Notebook Desktop Computer. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0005,H198 HD Six-light Infrared Night Vision Recorder Classic Popular Aircraft Nose Traffic,Automotive & Travel,16.64,22.46,CJ-162820687768,85,"https://cc-west-usa.oss-accelerate.aliyuncs.com/5ec66f93-8577-4a97-9e2f-fe8478f6ee60.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision H198 HD Six-light Infrared Night Vision Recorder Classic Popular Aircraft Nose Traffic. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0006,LED sensor light bar,Lighting & Ambience,12.72,17.17,CJ-10A2E8CF-227,85,"https://cf.cjdropshipping.com/15944832/1006442521780.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision LED sensor light bar. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0007,Computer Video Light Mobile Phone Selfie Fill Light,Lighting & Ambience,4.16,5.62,CJ-240615114414,85,"https://cf.cjdropshipping.com/quick/product/9b97b98f-5b0e-42a5-9814-5d51335c4486.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Computer Video Light Mobile Phone Selfie Fill Light. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0008,Party Computer Game Desktop Atmosphere Light,Lighting & Ambience,19.80,26.73,CJ-240611063715,85,"https://oss-cf.cjdropshipping.com/product/2024/06/11/06/fe66318f-54ef-4ab9-9137-524bbb825f22_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Party Computer Game Desktop Atmosphere Light. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0009,Led Rechargeable Bar Table Lamp Quiet Bar Service Script Light,Lighting & Ambience,11.28,15.23,CJ-250828014349,85,"https://oss-cf.cjdropshipping.com/product/2025/08/28/01/372ac4f5-04bb-4822-85ef-93e93d193f55_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Led Rechargeable Bar Table Lamp Quiet Bar Service Script Light. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0010,Modeling Neon Light Luminous Character Billboard Creative Light Bar,Lighting & Ambience,19.44,26.24,CJ-250111015549,85,"https://oss-cf.cjdropshipping.com/product/2025/01/11/01/c7d2354e-c34e-4e21-b1bc-a9872d21c268_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Modeling Neon Light Luminous Character Billboard Creative Light Bar. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0011,Multifunctional Folding Book Light Battery Night Light Creative Learning Bedside Light,Lighting & Ambience,9.72,13.12,CJ-138577019918,85,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1619228177895.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Multifunctional Folding Book Light Battery Night Light Creative Learning Bedside Light. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0012,Sewing Machine Light Strip Touch Sensitive Dimming LED Light Bar,Lighting & Ambience,31.97,43.16,CJ-0BA7B552-667,85,"https://cc-west-usa.oss-accelerate.aliyuncs.com/20190620/3519121044737.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Sewing Machine Light Strip Touch Sensitive Dimming LED Light Bar. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0013,US Solar Camera Low Power Monitor Dual Lens Monitor,"Home, Wellness & Lifestyle",11.28,15.23,CJ-250816085207,85,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Genuine precision US Solar Camera Low Power Monitor Dual Lens Monitor. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0014,Usb Computer Web Camera 1080P Fill Light Beauty Uvc Songhan Pc Camera,Workspace & Desk Accessories,22.27,30.06,CJ-138722009145,85,"https://cf.cjdropshipping.com/1619573801485.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision Usb Computer Web Camera 1080P Fill Light Beauty Uvc Songhan Pc Camera. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0015,LED Linear Light Embedded Aluminum Lamp Slot U-shaped Alloy Linear Light Bar,Lighting & Ambience,6.32,8.53,CJ-250805073945,85,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Genuine precision LED Linear Light Embedded Aluminum Lamp Slot U-shaped Alloy Linear Light Bar. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0016,English and Russian bilingual speed measuring radar electronic dog,Automotive & Travel,27.74,37.45,CJ-1BAF9F05-ABB,85,"https://cc-west-usa.oss-accelerate.aliyuncs.com/2061/3311529998911.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Genuine precision English and Russian bilingual speed measuring radar electronic dog. Manufactured for tactile durability and seamless workspace integration.
prod_cj_0017,Head-up Display Gps High-definition Speed Water Temperature Turbine Monitoring,Automotive & Travel,76.94,103.87,CJ-138009453696,85,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Genuine precision Head-up Display Gps High-definition Speed Water Temperature Turbine Monitoring. Manufactured for tactile durability and seamless workspace integration.
